EQDS11Q	\\begin{equation}\n\\langle \\>a|\\>b \\rangle_{\\omega}:=\n\\bar a^0 b^0 + \\bar a^1 {\\omega}_1 b^1 + \\bar a^2 {\\omega}_1 {\\omega}_2 b^2 + \\dots =\n\\sum_{i=0}^N \\bar a^i{\\omega}_{0i}  b^i.\n\n\\end{equation}	1	physics_9801008
EQDS12Q	\\begin{equation}\n\\langle U \\>a| U \\>b \\rangle_{\\omega}= \\langle \\>a|  \\>b \\rangle_{\\omega}\n \\forall\\, \\>a,\\>b\\in {{\\mathbb C}}^{N+1},\n\n\\end{equation}	1	physics_9801008
EQDS13Q	\\begin{equation}\nU^\\dagger{{{\\cal I}_{\\omega}}} U={{{\\cal I}_{\\omega}}}  \n\\forall U\\in U_{\\omega}(N+1).\n\n\\end{equation}	1	physics_9801008
EQDS14Q	\\begin{equation}\nX^\\dagger{{{\\cal I}_{\\omega}}} +{{{\\cal I}_{\\omega}}} X=0  \n\\forall X\\in  u_{\\omega}(N+1).\n\n\\end{equation}	1	physics_9801008
EQDS15Q	\\begin{equation}\n{J}_{ab}=-{\\omega}_{ab}e_{ab}+e_{ba}  \n{M}_{ab}=i({\\omega}_{ab}e_{ab}+e_{ba})  \n{B}_l=i(e_{l-1,l-1}-e_{ll})  \n{I}=i \\sum_{a=0}^{N}e_{aa}\n\n\\end{equation}	1	physics_9801008
EQDS16Q	\\begin{equation}\n\\langle \\>x|\\>x \\rangle_{\\omega}:= \\sum_{i=0}^N \\bar x^i{\\omega}_{0i}  x^i =1\n\n\\end{equation}	1	physics_9801008
EQDS17Q	\\begin{equation}\n{J}_{ab}\\to {J}'_{ab}=-{J}_{N-b,N-a}  \n{M}_{ab}\\to {M}'_{ab}=-{M}_{N-b,N-a}  \n{B}_{l}\\to {B}'_{l}= {B}_{N+1-l}\n\n\\end{equation}	1	physics_9801008
EQDS18Q	\\begin{equation}\nsu_{{\\omega}_1,{\\omega}_2,\\dots,{\\omega}_{N-1},{\\omega}_N}(N+1)\\simeq\nsu_{{\\omega}_N,{\\omega}_{N-1},\\dots,{\\omega}_2,{\\omega}_1}(N+1)  .\n\n\\end{equation}	1	physics_9801008
EQDS19Q	\\begin{equation}\n\\begin{array}{rl}\n{G}_a:=  \\displaystyle\n\\frac{1}{a} \\Big( {B}_1+2{B}_2+\\dots+(a-1){B}_{a-1}\\Big) + B_a\n\\\\\n+ \n\\displaystyle\n\\frac{1}{N+1-a} \\Big( (N-a){B}_{a+1}+(N-a-1){B}_{a+2}+\\dots+{B}_{N}\\Big).\n\\end{array}\n\n\\end{equation}	1	physics_9801008
EQDS20Q	\\begin{equation}\n{G}_a=i\\Big(\\frac{1}{a}(\\sum_{s=0}^{a-1}e_{ss})-\n           \\frac{1}{N+1-a}(\\sum_{s=a}^{N}e_{ss})\\Big),\n\\end{equation}	1	physics_9801008
EQDS21Q	\\begin{equation}\n\\begin{array}{l}\nsu_{{\\omega}_1,\\dots,{\\omega}_{a-1},{\\omega}_a=0,{\\omega}_{a+1},\\dots,{\\omega}_N}(N+1)\n\\equiv \\\\\n\nt \\odot\n( su_{{\\omega}_1,\\dots,{\\omega}_{a-1}}(a)\n\\oplus\nu(1)\n\\oplus\nsu_{{\\omega}_{a+1},\\dots,{\\omega}_N}(N+1-a)),\n\\end{array}\n\n\\end{equation}	1	physics_9801008
